what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437028062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437029330
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437034780
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437035697
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437046370
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437048245
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329437050895
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1329437052063
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1329437052115
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1329437052130
started,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1329437052130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437052318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437053808
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329437053938
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329437071988
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329437074190
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329437079433
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329437091568
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329437110351
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437113006
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329437123609
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329437128964
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329437130799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329437135446
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329437135989
