what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436285138
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436301929
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329436306396
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436309306
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436324589
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436324664
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436324721
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436329949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436340582
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436349499
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436351502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436362769
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436364107
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436375317
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436377135
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436389922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436392600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436397538
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436398810
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1329436402193
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436418893
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436423110
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436451338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436453441
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436459806
