what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401220219
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1329401222406
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1329401222684
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1329401222686
started,bundle,org.eclipse.mylyn.pde.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.pde.ui",1329401222687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1329401225958
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401289431
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401290728
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401300491
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401301927
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1329401303417
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401306226
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401307300
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401309439
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401315107
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401325110
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401327094
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401328967
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401330758
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1329401334175
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329401334451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401344873
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329401348261
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329401350814
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329401356455
