what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782200971
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782212827
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782215198
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782249269
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782250485
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782253091
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782255493
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782270906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782272653
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782274385
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782274478
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782282107
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782283245
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782288237
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782288830
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782297738
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782300156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782323181
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782326785
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782327362
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782341418
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782367454
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782368375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782382384
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782385223
