what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777521490
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777521505
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777521512
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.closeAll",1329777521528
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329777526389
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777528340
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777535989
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777536275
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777536314
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1329777537542
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1329777538077
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329777544668
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777545861
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777547183
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329777547271
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777549017
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777568458
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329777571169
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777574277
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777586625
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777586707
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777586783
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1329777587747
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1329777588218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777604678
