what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436635639
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436641571
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436713922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436729113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436736033
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436738275
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436750173
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436752068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436768581
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436770358
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436782383
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436784261
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436786833
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436797471
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436816216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436818304
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436826974
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436828202
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436850192
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436856297
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436857402
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436864610
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1329436866807
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436870405
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329436878087
