what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782392134
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782393023
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782429870
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782431711
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782435252
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782438606
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782456219
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782457373
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782459510
executed,command,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1329782459526
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782461164
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782468761
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782482614
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1329782486685
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782504579
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782506232
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782516715
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782518229
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782525514
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782526996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782562798
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782564545
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782566870
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782568196
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782569522
