what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777605895
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777647681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777649932
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329777651353
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777652239
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777653020
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329777653188
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777656219
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779114361
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1329779117850
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329779118976
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779121953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779127679
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329779127750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329779127801
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1329779132245
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779134481
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329779136896
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779137197
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329779137209
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329779138837
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329779140477
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779143232
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329779153826
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329779153918
