what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486920869
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486921103
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486928700
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486930260
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486949776
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486951445
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486955517
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486955688
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486955844
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486955985
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486956172
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486956390
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329486956702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486983722
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486985890
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1329486993113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329486994985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329487005999
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329487008042
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329487009914
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329487016154
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329487016248
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329487016326
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1329487025452
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329487030428
