what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329781888037
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329781890174
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329781890907
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329781902061
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329781958970
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782006254
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782007876
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782011324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782014223
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329782043457
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329782045860
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782056546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782080913
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329782083518
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782085624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782090179
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329782090257
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329782090289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782108728
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782110818
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1329782145248
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1329782146449
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1329782151129
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.smartEnter",1329782153063
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329782155856
