what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776569068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776620324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776623602
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776641013
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776642492
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776654472
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776656412
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776665105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776668376
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776702812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776704462
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776708255
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776713381
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776754667
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776758495
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329776760109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776761128
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776762968
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329776763085
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776770696
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776776305
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776782676
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329776785408
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329776798724
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329776801186
