what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230707094
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230709122
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329230711946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230716429
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230721905
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329230726289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230746430
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230747834
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329230749628
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230751437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230752962
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329230753112
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230755622
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230783160
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329230786550
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230821632
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230823262
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230841600
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230842902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230848058
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230849299
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230859899
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230860849
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230885075
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329230886311
