what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"pt_BR",1329228056159
processors,sysinfo,,,"4",1329228056159
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329228056159
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1329228056159
java.specification.name,sysinfo,,,"Java Platform API Specification",1329228056159
java.specification.vendor,sysinfo,,,"Oracle Corporation",1329228056159
java.specification.version,sysinfo,,,"1.7",1329228056159
java.vendor,sysinfo,,,"Oracle Corporation",1329228056159
java.version,sysinfo,,,"1.7.0_02",1329228056159
java.vm.info,sysinfo,,,"mixed mode, sharing",1329228056159
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329228056159
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329228056159
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329228056159
java.vm.specification.version,sysinfo,,,"1.7",1329228056159
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329228056159
java.vm.version,sysinfo,,,"22.0-b10",1329228056159
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329228097309
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329228240400
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1329228240447
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1329228243958
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1329228248042
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1329228248042
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1329228248152
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1329228248262
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329228249749
