what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777172922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777187967
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329777189630
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777192272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777197111
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777197193
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329777197242
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1329777198245
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1329777198778
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777248206
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777252071
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777254564
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777256544
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777257324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777259857
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777272030
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777273761
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329777283836
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777285471
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777286779
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329777286894
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777296522
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777317014
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1329777319294
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329777321359
