what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402018407
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402019601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402024203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402025260
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329402029218
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329402032737
error,log,,,"Unhandled event loop exception",1329402033601
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1329402046195
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402050725
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402055964
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402057284
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402059413
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402095110
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402097754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402118824
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402120336
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329402122322
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402131126
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402133230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402134527
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329402135790
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329402140384
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329402149018
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1329402149712
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329402154138
