what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181050508
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181052236
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181070674
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181073279
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181078562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181079404
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181083726
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181085692
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181094802
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181096830
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181098484
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181100622
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181101870
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181104475
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181110434
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181110652
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181114209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181120096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1329181122436
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1329181130077
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181140990
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181142878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181143876
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1329181145747
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1329181149805
